text,processed,polarity_score,polarity
"Selalu suka dengan hotel ini, kamar bersih, hotel besar, lokasi dekat braga sehingga kulineran dekat, terutama rate roomnya tidak terlalu tinggi, breakfast enak, tapi sayang anak-anak di kenakan 1/2 harga, hotel **** yang lain masih free charge.",suka hotel kamar bersih hotel lokasi braga kuliner rate roomnya breakfast enak sayang anak anak kena harga hotel free charge,11,positive
Pelayanan sangat baik. Makanan enak. Kolam renang ada air hangat untuk anak.,layan makan enak kolam renang air hangat anak,6,positive
Wow! Mendapatkan free upgrade ke eksekutif. Fasilitas bagus. Cepat tanggap dan service memuaskan. Breakfast bisa di skylounch dan di lobi. It’s perfect for me!,wow free upgrade eksekutif fasilitas bagus cepat tanggap service muas breakfast skylounch lobi it s perfect for me,18,positive
"Kamar besar, bersih dan nyaman, sarapan paginya enak kami ambil kamar type condotel.",kamar bersih nyaman sarap pagi enak ambil kamar type condotel,8,positive
Nyaman dan makanan semua enak.,nyaman makan enak,10,positive
"Hotel El royalnya menyenangkan, petugas ramah, masuk hotel check-in cepat, jika ada kamar kosong tidak perlu menunggu sampai jam 2, Ruangan kamar bersih, sarapan paginya variasi, sekitar lobby ada minimarket buka 24 jam.",hotel el royal senang tugas ramah masuk hotel check in cepat kamar kosong tunggu jam ruang kamar bersih sarap pagi variasi lobby minimarket buka jam,10,positive
"Hotel bagus sebagian masih dalam tahap renovasi, tapi tetap membuat nyaman tamu hotel, makanannya enak dan pelayanan yang ramah.",hotel bagus tahap renovasi nyaman tamu hotel makan enak layan ramah,25,positive
Akomodasi sesuai ditawarkan di iklan.,akomodasi sesuai tawar iklan,2,positive
"Hotel bagus dan bersih, nyaman dan para staf juga ramah.",hotel bagus bersih nyaman staf ramah,12,positive
"Check-in jam 2 subuh dini hari petugas receptionistnya ramah pelayanan cepat, kamarnya juga luas saya minta view ke kota di turutin oleh petugas receptionisnya, kolam renang pun bersih. Menu breakfastnya juga bervariatif tapi sayang saya breakfast di saat mau closing. Jadi ada beberapa menu yg sudah habis tapi menu yg habbis itu masih bisa kita mnta lagi ke waiternya pokoknya the best lah nginep dsni next akan balik lagi ke sini 👍",check in jam subuh tugas receptionistnya ramah layan cepat kamar luas view kota turutin tugas receptionisnya kolam renang bersih menu breakfastnya variatif sayang breakfast closing menu yg habis menu yg habbis mnta waiternya pokok the best nginep dsni next,16,positive
"Kamarnya luas, lokasinya strategis, kolam renang dan jacuzzi-nya mantap. Proses check in-nya tidak susah serta receptionist ramah dan helpful.",kamar luas lokasi strategis kolam renang jacuzzi nya mantap proses check in nya susah receptionist ramah helpful,10,positive
"Hotel terbaik di Bandung, selalu menginap disini karena dekat banget kemana-mana plus ambiancenya juara sih kamarnya juga gede yang tipe condotell.",hotel bandung inap banget plus ambiancenya juara sih kamar gede tipe condotell,7,positive
"Kamarnya luas, AC-nya dingin banget. Sarapannya juga enak dan banyak pilihan.",kamar luas ac nya dingin banget sarap enak pilih,14,positive
"Seru banget nyaman pokoknya pengen balik lagi kali ini mau sajak keluarga yang banyak dan pelayanannya ramah, Kamarnya luas ada bathtubnya juga cuma 500 ribu bisa rasain menginap di hotel berbintang. Kolamnya hangat karena disana udaranya dingin. Semua airnya hangat dikamar mandi juga full hangat jadi bisa banget buat bawa anak-anak balita. Sarapan bisa sepuasnya dan tidak ada yang tidak enak, pokoknya harus balik lagi, recommended banget.",seru banget nyaman pokok ken kali sajak keluarga layan ramah kamar luas bathtubnya ribu rasain inap hotel bintang kolam hangat udara dingin air hangat kamar mandi full hangat banget bawa anak anak balita sarap puas enak pokok recommended banget,51,positive
"Kamar luas, dilengkapi dengan bathtub. Sangat nyaman berlibur bersama anak-anak.",kamar luas lengkap bathtub nyaman libur anak anak,6,positive
"Pelayanannya memuaskan sekali! Sampai hotel jam 11 siang mau sholat jumat, ternyata ada mesjid besar di hotel, plus bisa early check-in. Mengesankan banget! lobby hotel besar ada atm juga. ada minimart. minta alat makan langsung diantar. Kolam renang besar dan ada air hangat. sarapan enak. parkiran luas keren lah. hotel lama yang terawat. dekat ke alun-alun dan kemana-mana.",layan muas hotel jam siang sholat jumat mesjid hotel plus early check in kesan banget lobby hotel atm minimart alat makan langsung kolam renang air hangat sarap enak parkir luas keren hotel awat alun alun,44,positive
"Lokasinya strategis, dekat dengan tempat kuliner yang ada di daerah Braga, kamarnya luas, dan saya dapat upgrade kamar dari pihak hotel. Kekurangan dari hotel ini, hanya air showernya agak kecil, selebihnya hotel ini bagus.",lokasi strategis kuliner daerah braga kamar luas upgrade kamar hotel hotel air showernya hotel bagus,7,positive
Sangat bagus dalam pelayanan dan makanannya enak.,bagus layan makan enak,10,positive
"Kamarnya bersih, pelayanannya ramah dan makanannya enak. Dan yang penting karena kami bawa anak-anak kolam renang jadi tujuan utama. Alhamdulillah bersih dan bagus.",kamar bersih layan ramah makan enak bawa anak anak kolam renang tuju utama alhamdulillah bersih bagus,16,positive
"Udah 2 kali nginep disini, ga pernah mengecewakan. Pesen kamar yang condotel, kasurnya gede :D sarapannya enak banyak variannya dari makanan tradisional ada, western ada. kolam renang air hangatnya pas buat yang bawa baby. Keluarga pada puas pada mau nginep di eL Hotel Royale kalo ke Bandung",udah kali nginep ga kecewa sen kamar condotel kasur gede d sarap enak varian makan tradisional western kolam renang air hangat pas bawa baby keluarga puas nginep el hotel royale kalo bandung,14,positive
"Hotel jadul tapi keren, hotelnya nyaman sekali, bintang 4 serasa bintang 5. Sarapannya banyak pilihan dan enak semua. Kamar sesuai dengan foto, ada bathtub juga. Dengan harga 500 ribu hotel ini sangat worth it. Lokasi di tengah kota sangat strategis.",hotel jadul keren hotel nyaman bintang serasa bintang sarap pilih enak kamar sesuai foto bathtub harga ribu hotel worth it lokasi kota strategis,18,positive
"Kamarnya luas, sarapannya juga enak dan banyak menu. Ada kolam renang air hangat untuk anak. sangat memuaskan, sepertinya kalau ke Bandung akan menginap disini lagi.",kamar luas sarap enak menu kolam renang air hangat anak muas bandung inap,15,positive
"Sangat menyenangkan, kamarnya luas, bersih, berada di tengah kota, kami selalu menginap disini jika ke Bandung.",senang kamar luas bersih kota inap bandung,8,positive
Saya sangat menikmati fasilitas hotelnya.,nikmat fasilitas hotel,6,positive
"Lokasi telat di jantung kota Bandung, fasilitas dan pelayanan super",lokasi telat jantung kota bandung fasilitas layan super,0,neutral
Sudah langganan menginap di hotel ini sudah 4 kali liburan menginap disini. Semua oke pelayanan ramah kamar bersih sarapan makananya enak-enak menu melimpah makanan dalam dan luar negri recommended banget deh. tarif super murah.,langgan inap hotel kali libur inap oke layan ramah kamar bersih sarap makananya enak enak menu limpah makan negri recommended banget deh tarif super murah,41,positive
"Menginap di el royale hotel ini bikin malas keluar hotel. Kamar nyaman, luas, kolam renang juga enak. Anak anak suka menginap disini. Sarapan variasi enak dan banyak. Recommended. Akan nginap disini lagi kalau ke Bandung lagi.",inap el royale hotel bikin malas hotel kamar nyaman luas kolam renang enak anak anak suka inap sarap variasi enak recommended nginap bandung,13,positive
"Nyaman, menyenangkan menginap sama keluarga disini.",nyaman senang inap keluarga,15,positive
Cocok untuk kegiatan seminar dengan jumlah peserta banyak.,cocok giat seminar,4,positive
"Saya menikmati pengalaman yang menyenangkan di eL Royale Bandung, kamarnya bersih. Suasananya nyaman, pelayanannya ramah dan makanannya enak. Dan saya akan kembali lagi untuk acara hari pernikahan saya.",nikmat alam senang el royale bandung kamar bersih suasana nyaman layan ramah makan enak acara nikah,29,positive
"Love it, kamar sesuai pesanan bahkan viewnya langsung ke kolam renang, lokasi di tengah kota, breakfast enak, kamar bersih, ruangan besar all of it menyenangkan.",love it kamar sesuai pesan viewnya langsung kolam renang lokasi kota breakfast enak kamar bersih ruang all of it senang,17,positive
"Nyaman, makanan enak, oke banget, next bakal kesini lagi kayaknya.",nyaman makan enak oke banget next kesini kayak,8,positive
"Kamarnya rapi dan tempatnya stategis, mudah kemana saja. Cocok buat liburan keluarga.",kamar rapi stategis mudah cocok libur keluarga,18,positive
"Saya rencana sangat terlambat untuk check in tapi ketika saya tilpon ke hotel untuk minta agar adik saya yang melakukan check in, pihak hotel sangat membantu dan tidak ada masalah sama sekali. Menu breakfast juga sangat lezat. Pokoknya kalau ke Bandung lagi saya akan menempatkan El Royale sebagai prioritas pertama.",rencana lambat check in tilpon hotel adik check in hotel bantu menu breakfast lezat pokok bandung el royale prioritas,14,positive
"Lokasi hotel ini sangat strategis dekat dengan bip, taman balai kota, taman panda, kawasan braga, asia afrika dan alun-alun Bandung. Menginap di kamar tipe deluxe condotel, kamar sangat bersih dan cukup luas dengan dilengkapi sofa, mini kitchen, Meja makan dan bathub dengan air panas yang melimpah sama seperti pada gambar di aplikasi Traveloka. Restoran sangat luas dengan variasi makanan yang banyak standard hotel bintang 4 dengan rasa yang nikmat terutama menu tradisional sunda bandrek bajigur, Pisang, jagung yang sungguh memanjakan lidah, anak-anak di atas 6 tahun kena charge dengan harga yang terjangkau. Hotel ini memiliki kolam renang yang sangat luas dan bersih dilengkapi 1 kolam renang dewasa, 1 kolam renang anak dan 1 jaccuzzi dengan air panas yang pas untuk berlama-lama berendam, ada pula mini play groond, lapang putsal, Kafe dan mushola yang besar di sekitar kolam renang, tempat parkir luas. Seluruh staf hotel ramah dan sangat membantu. Kalau ada kesempatan akan kembali menginap di hotel ini, terima kasih Traveloka.",lokasi hotel strategis bip taman balai kota taman panda kawasan braga asia afrika alun alun bandung inap kamar tipe deluxe condotel kamar bersih luas lengkap sofa mini kitchen meja makan bathub air panas limpah gambar aplikasi traveloka restoran luas variasi makan standard hotel bintang nikmat menu tradisional sunda bandrek bajigur pisang jagung sungguh manja lidah anak anak kena charge harga jangkau hotel milik kolam renang luas bersih lengkap kolam renang dewasa kolam renang anak jaccuzzi air panas pas rendam mini play groond lapang putsal kafe mushola kolam renang parkir luas staf hotel ramah bantu inap hotel terima kasih traveloka,33,positive
"Lokasi hotel dekat Bragawalk, interior hotel bagus dan fasilitas kamar dengan bathtub, menu breakfast sangat variatif dan enak, dan fasilitas kolam renang, ada kolam air hangatnya itu merupakan kelebihannya, sangat betah menginap disana.",lokasi hotel bragawalk interior hotel bagus fasilitas kamar bathtub menu breakfast variatif enak fasilitas kolam renang kolam air hangat betah inap,13,positive
"Menginap di hotel ini serasa hotel bintang 5, kamar yang luas dan fasilitas lengkap sekali. Anak saya juga senang sekali bisa lihat pesawat terbang dan berenang di kolam renang yang besar dan ada kolam air hangatnya. Lokasi hotel di pusat kota banget jadi mau pergi kemana-mana dekat. Thanks eL Royale dan Traveloka.",inap hotel serasa hotel bintang kamar luas fasilitas lengkap anak senang lihat pesawat terbang renang kolam renang kolam air hangat lokasi hotel pusat kota banget pergi thanks el royale traveloka,17,positive
"The best hotel, top markotop, semua makanannya enak, kamar condotel dan merdekanya juga enak, bersih dan nyaman",the best hotel top markotop makan enak kamar condotel merdeka enak bersih nyaman,21,positive
"Hotel di Bandung yang paling sering kita didatengin. Ga pernah ada kurangnya ini hotel kamar, pelayanan, dan makanannya juara",hotel bandung didatengin ga hotel kamar layan makan juara,4,positive
Akomendasi ini sangat cocok untuk liburan romantis maupun liburan keluarga. Lokasi sangat strategis berada di tengah tengah pusat kota Bandung.,akomendasi cocok libur romantis libur keluarga lokasi strategis pusat kota bandung,19,positive
"Senang banget menginap di el royale, memuaskan sekalii kamarnya bagus, perlengkapan mandinya lengkap banget, staf-staf ramah-ramah, semua konsepnya bagus mau renang pun disiapkan handuknya tempat bilas bersih. Makanannya pun banyak sekali variasinya dan enak-enak sekali. In saya allah akan kembali lagi menginap disini sajak keluarga besar.",senang banget inap el royale muas kamar bagus lengkap mandi lengkap banget staf staf ramah ramah konsep bagus renang handuk bilas bersih makan variasi enak enak in allah inap sajak keluarga,55,positive
"Makanannya enak semua kolam renang air hangat bakalan jadi hotel langganan seperti pegawainya ramah-ramah receptionisnya ada yang kurang senyum, senyum ngapa.",makan enak kolam renang air hangat hotel langgan pegawai ramah ramah receptionisnya senyum senyum ngapa,27,positive
"Kamar yang nyaman, bersih, luas dan nyenyak tidur.",kamar nyaman bersih luas nyenyak tidur,6,positive
Makanannya enak banget!,makan enak banget,7,positive
"Kamar cukup luas sangat nyaman untuk family dan anak kecil, Serta makan pagi yang banyak variasi dan live musik pada malam hari sungguh menyenangkan ada kolam ikan, kolam renang yang luas dan gamelan traditional, Petugasnya juga ramah, sip lah, next mau ke el royal lagi.",kamar luas nyaman family anak makan pagi variasi live musik malam sungguh senang kolam ikan kolam renang luas gamelan traditional tugas ramah sip next el royal,16,positive
"El royal yg pertama kita singgah di banywangi. Setelahnya pada saat buka treveloka teringat akan hotel el royal yg lain... Jd pada saat dibandung kita langsung cari hotel el royal...karna fasilitasnya pasti bagus,makan pagi karena bnyk orang jd agak² repot ya nunggu kursi kosong... Pas naik lift ternyata ada fasilitas skylong di atas untuk sarapan pagi juga ,😭😭😭 yah nyesel sudah tidak makan diatas... Semuanya bagus dan baik pengelolahan resort,hotel dan condotelnya bagus nggak kapok pasti kita kunjungi lagi terimakasih untuk semua karyawan el royal good job",el royal yg singgah banywangi buka treveloka hotel el royal yg jd bandung langsung cari hotel el royal karna fasilitas bagus makan pagi bnyk orang jd repot ya nunggu kursi kosong pas lift fasilitas skylong sarap pagi yah nyesel makan bagus pengelolahan resort hotel condotelnya bagus nggak kapok kunjung terimakasih karyawan el royal good job,16,positive
"Hotelnya sangat recommended, servicenya bagus, kamarnya oke, makanannya enak, pokoknya menyenangkan di hotel ini.",hotel recommended servicenya bagus kamar oke makan enak pokok senang hotel,20,positive
"Sangat puas, liburan keluarga menjadi seru dan sangat nyaman di hotel ini.",puas libur keluarga seru nyaman hotel,20,positive
Hotel terbaik dengan layanan terbaik. Saya akan kembali menginap disini lagi.,hotel layan inap,5,positive
"Saya sangat senang menginap di sini, karena fasilitas dan layanannya bagus sekali.",senang inap fasilitas layan bagus,13,positive
"Kamarnya bersih dan pelayanannya bagus, dekat pusat keramaian.",kamar bersih layan bagus pusat ramai,10,positive
"Kualitas hotel bagus. sudah 2 kali menginap di hotel ini. kamar di merdeka tower luas, rapi sudah bersih, staf hotel semuanya ramah, Yang di condotel tower lebih bagus lagi kamarnya, parkiran banyak, sarapannya lengkap banget, semua makanan tradisional ada, good job. Lokasinya dekat dengan jalan braga. Top banget deh. Ini hotel recommended banget.",kualitas hotel bagus kali inap hotel kamar merdeka tower luas rapi bersih staf hotel ramah condotel tower bagus kamar parkir sarap lengkap banget makan tradisional good job lokasi jalan braga top banget deh hotel recommended banget,40,positive
"Hotelnya nyaman dan kamarnya luas, sudah 2 kali menginap disini. Kolam renang ada yang air hangat. Mantul lah nih hotelnya.",hotel nyaman kamar luas kali inap kolam renang air hangat mantul nih hotel,12,positive
"Kamar yang sangat nyaman, feels like home.",kamar nyaman feels like home,4,positive
Dari 2016 menginap di sini. Intinya parah bikin betah pengen lagi lagi ya 😂😂 thx lho elroyale,inap inti parah bikin betah ken ya thx lho elroyale,4,positive
"Pengalamanku nginep di El royale ini sangat-sangat puas, kalau ada kata lebih dari puas boleh dipake hehe, tapi beneran menyenangkan banged, kamar luas, kasur gede, kamar mandi bathtub, view langsung kolam renang, sarapan pagi dijamin ketagihan dan lengkap menunya, stafnya baik-baik banged, terjangkau lagi harganya semalam. Satu lagi, ini hotel baik banged aku minta bikinin suprise ultah suami, eh dikasih compliment kue dari hotelnya, ah terharu, makasih ya eL Hotel, bakalan balik lagi deh liburan selanjutnya ke Bandung.",alam nginep el royale puas puas dipake hehe beneran senang banged kamar luas kasur gede kamar mandi bathtub view langsung kolam renang sarap pagi jamin tagih lengkap menu staf banged jangkau harga malam hotel banged bikinin suprise ultah suami eh kasih compliment kue hotel ah haru makasih ya el hotel deh libur bandung,27,positive
Pengalaman saya menginap di hotel el royale bandung menyenangkan. Bersih kamar dan hotelnya. Breakfastnya juga super lengkap pilihannya dan enak-enak. Kolam renang anak ada yang air hangat anak sayapun happy sekali. Pokoknya saya mau kembali menginap disini sajak orang tua.,alam inap hotel el royale bandung senang bersih kamar hotel breakfastnya super lengkap pilih enak enak kolam renang anak air hangat anak happy pokok inap sajak orang tua,23,positive
"Saya sudah sering menginap di hotel eL Royale ini, tidak pernah bosan, selalu ingin kembali lagi, suasana hotel sangat nyaman. Fasilitas juga lengkap dan bagus. Menurut saya hotel ini lebih pantas jadi bintang lima ya karena memang bagus dan eksklusif.",inap hotel el royale bosan suasana hotel nyaman fasilitas lengkap bagus hotel bintang ya bagus eksklusif,26,positive
"Sangat menyenangkan di samping saya menginap dengan pasangan, fasilitas (kamar tidur), (Pelayanan resepsionis/room service serta fasilitas yang ada di hotel) yang diberikan hotel El Royale ini sungguh sangat memuaskan.",senang samping inap pasang fasilitas kamar tidur layan resepsionis room service fasilitas hotel hotel el royale sungguh muas,24,positive
Pelayanannya ramah makanannya enak-enak.,layan ramah makan enak enak,18,positive
"Pelayanan bagus, lokasi strategis.",layan bagus lokasi strategis,4,positive
"Check in tidak perlu menunggu lama. Kamar persis dengan foto, yang paling sangat disukai saat breakfast menunya sangat bervariasi dan rasanya sangat enak. Tamu tidak perlu menunggu terlalu lama, makanan yang habis selalu diisi kembali. Kolam renang cukup nyaman dan luas serta dilengkapi air hangat. Bila ke bandung saya akan menginap di el royale kembali. Terima kasih traveloka.",check in tunggu kamar persis foto suka breakfast menu variasi enak tamu tunggu makan habis isi kolam renang nyaman luas lengkap air hangat bandung inap el royale terima kasih traveloka,32,positive
Nice and nyaman banget tempatnya.,nice and nyaman banget,9,positive
Makanan enak. Kamar nyaman. Viewnya bagus. Terima kasih.,makan enak kamar nyaman viewnya bagus terima kasih,16,positive
"Bagus, bersih, kamar besar, harga murah, makanan lumayan, staf hotel ramah, good deh semuanya.",bagus bersih kamar harga murah makan lumayan staf hotel ramah good deh,21,positive
"Really satisfying. mulai dari lokasi yg sangat strategis, kamar yg luas dan lengkap, makanan yg enak, dan service yg memuaskan 😍 can’t wait to come back again 💖",really satisfying lokasi yg strategis kamar yg luas lengkap makan yg enak service yg muas can t wait to come back again,16,positive
"Menginap di hotel ini sangat menyenangkan, pihak hotel berusaha memenuhi kebutuhan keluarga saya dengan excellent, Tapi all. good banget, bersih, wangi, yang terpenting tidak melupakan kami sedang ditatar sunda dengan segala etniknya , Interior dan makanan yang sunda pisanan, westrn juga ada, buat yang tidak suka masakan sunda, tapi biar berasa kuliner, masakannya enak. Sukses ya.",inap hotel senang hotel usaha penuh butuh keluarga excellent all good banget bersih wangi lupa tatar sunda etnik interior makan sunda pisanan westrn suka masakan sunda biar asa kuliner masakan enak sukses ya,46,positive
"Hotelnya cozy, pas untuk keluarga maupun untuk honeymoon.",hotel cozy pas keluarga honeymoon,8,positive
"Sudah beberapa kali menginap disini karena letaknya strategis dan kamar hotel yang cukup luas dan juga parkiran yang cukup luas. pelayanan baik. Sarapan yang enak, sepertinya sulit move on dari hotel ini karena sudah nyaman seperti rumah sendiri. Liburan yang menyenangkan menginap di hotel ini?",kali inap letak strategis kamar hotel luas parkir luas layan sarap enak sulit move on hotel nyaman rumah libur senang inap hotel,39,positive
"Saya pas mendapatkan gedung yang baru sangat menyenangkan menginap di El Royal Hotel Bandung ini, pelayanannya sangat memuaskan, bersih, sigap, sangat recommended banget.",pas gedung senang inap el royal hotel bandung layan muas bersih sigap recommended banget,19,positive
"Sangat menyenangkan menginap di el royal hotel, staf-stafnya baik dan ramah, kamar bersih sesuai foto, kolam renang luas dan ada air hangatnya jadi c baby tidak kedinginan, overall saya sangat puas dan jika ke Bandung lagi akan menginap di sini lagi.",senang inap el royal hotel staf staf ramah kamar bersih sesuai foto kolam renang luas air hangat c baby dingin overall puas bandung inap,30,positive
"Kamar lega, kolam luas banyak variasi kedalaman kolam dan airnya hangat.",kamar lega kolam luas variasi kolam air hangat,0,neutral
Fasilitasnya juara saya sangat suka dengan menu breakfastnya sangat puas.,fasilitas juara suka menu breakfastnya puas,8,positive
"Pengalaman yang sangat menyenangkan menginap di hotel El royale. Lokasi strategis di tengah-tengah kota. mau kemana saja dekat. Staf ramah. Kamar nyaman. kamar mandi bathtub, anak-anak senang berendam dengan air hangat. Kolam renang ada air hangatnya juga cocok untuk balita agar tidak kedinginan. Breakfast enak dan menunya sangat variatif. Di lobby banyak spot-spot bagus untuk berselfie ria. ada atm center juga. Overall sangat puas menginap disini. Kami dapat kamar connecting room pada saat check-in. anak-anak senang. terima kasih el royale. Next kalau ke Bandung pasti akan menginap di hotel ini lagi.",alam senang inap hotel el royale lokasi strategis kota staf ramah kamar nyaman kamar mandi bathtub anak anak senang rendam air hangat kolam renang air hangat cocok balita dingin breakfast enak menu variatif lobby spot spot bagus berselfie ria atm center overall puas inap kamar connecting room check in anak anak senang terima kasih el royale next bandung inap hotel,43,positive
"Mantap, sangat bagus hotelnya.",mantap bagus hotel,8,positive
"Kamar luas, bersih, fasilitas lengkap.",kamar luas bersih fasilitas lengkap,7,positive
"Kamar luas dan bagus, kolam renang besar, breakfast beragam, resepsionis ramah.",kamar luas bagus kolam renang breakfast agam resepsionis ramah,13,positive
"Kamar luas dan bersih, menu sarapan sangat variatif dan enak, fasilitas hotel yang dilengkapi kolam renang air hangat dan air dingin serta lokasi hotel yang sangat strategis.",kamar luas bersih menu sarap variatif enak fasilitas hotel lengkap kolam renang air hangat air dingin lokasi hotel strategis,21,positive
Sangat memuaskan menginap di El Royale. Semua staf ramah. Breakfast banyak pilihannya dan rasanya enak! Check-in prosesnya cepat. Thanks!,muas inap el royale staf ramah breakfast pilih enak check in proses cepat thanks,20,positive
"Awal pesan di website saya pesan kamar merdeka twin, lalu setelah check-in saya diberikan upgrade room free biaya tambahan. Kamarnya nyaman, bersih, breakfastnya banyak variasi dan enak. Next ke Bandung akan kesana lagi. Terima kasih El Royale. ❤",pesan website pesan kamar merdeka twin check in upgrade room free biaya kamar nyaman bersih breakfastnya variasi enak next bandung kesana terima kasih el royale,15,positive
"Dengan best deal price dari Situs Traveloka, sungguh membuat saya sangat puas bisa mendapatkan hotel bintang 4 terbaik yang ada bandung, Kebersihan, fasilitas, dan sarapan yang lebih dari harga yang dibayarkan. sangat strategis lokasinya, dekat kemana-mana. thanks Traveloka.",best deal price situs traveloka sungguh puas hotel bintang bandung bersih fasilitas sarap harga bayar strategis lokasi thanks traveloka,19,positive
"Saya merasa sangat tersanjung dengan pelayanan hotel El Royale karena telah men upgrade kamar saya ke kamar yang lebih bagus sebagai tanggung jawab pihak hotel karena telah mengalokasikan kamar saya kepada orang lain sebelum saya check in, saya juga merasa senang dengan fasilitas hotel yang lengkap terutama dengan kolam renang yang besar dan menu sarapan yang enak dan sangat bervariasi, lokasi hotelnya juga sangat strategis, ke Braga city walk tinggal jalan kaki dari hotel, pokoknya paket komplit semua puas dan senang",sanjung layan hotel el royale men upgrade kamar kamar bagus tanggung hotel alokasi kamar orang check in senang fasilitas hotel lengkap kolam renang menu sarap enak variasi lokasi hotel strategis braga city walk tinggal jalan kaki hotel pokok paket komplit puas senang,38,positive
"Pengalaman menginap pertama di El Royalor sangat memuaskan. Semuanya kasih jempol 5. Next kalau ke Bandung pasti akan kembali menginap disini. Check-in sangat cepat, secepat kilat, semuanya ramah-ramah.",alam inap el royalor muas kasih jempol next bandung inap check in cepat cepat kilat ramah ramah,31,positive
"El royal hotel* sangat cocok untuk per istirahat keluarga dan family saya pastikan one day akan datang lagi dan merekomendasikan kepada sahabat kantor, Ruang kamar luas harga sangat ekonomis dengan hotel sekelas saya menginap bersama istri dan 3 anak semuanya mendapatkan maksimal kenyamanan, Selama anak-anak berenang saya tetap nyaman karena diawasi oleh security-nya bukti pihak manajemen memastikan semuanya oke. Sedikit kendala anak saya yang sedang ber ulang tahun yang ke 12 di cas breakfast RP 75.000 itu juga karena saya kurang tahu dan tidak bertanya so far Semuanya sangat ok.",el royal hotel cocok istirahat keluarga family one day rekomendasi sahabat kantor ruang kamar luas harga ekonomis hotel kelas inap istri anak maksimal nyaman anak anak renang nyaman awas security nya bukti manajemen oke kendala anak ber ulang cas breakfast rp so far ok,21,positive
"Nyaris sempurna, karena saya bawa bayi yang baru 3 bulan, saya dapat fasilitas upgrade kamar dan baby box sudah tersedia gratis. Parkir luas, makanan enak dan banyak macamnya, kamar dan bathroom bersih dan wangi, karyawan juga ramah. Sedikit keluhan mungkin lift yang tersedia di condotel terlalu sedikit, hanya 3 yang bisa dipakai. Kebetulan waktu saya menginap tgl 15 des kamar hotel full booked sehingga harus antri untuk pakai lift. Tapi overall semua di hotel ini bagus. Terima kasih El Royale Bandung. 😍",sempurna bawa bayi fasilitas upgrade kamar baby box sedia gratis parkir luas makan enak kamar bathroom bersih wangi karyawan ramah keluh lift sedia condotel pakai inap tgl des kamar hotel full booked antri pakai lift overall hotel bagus terima kasih el royale bandung,41,positive
"Hotelnya nyaman banget. Saya bawa bayi 6 bulan, dya juga nyaman, bisa pules tidur. terus kamar mandinya bersih. kamarnya lumayan comfy buat bayi. Ada minimarketnya juga dibawah. Sudah tidak ada repot-repot cari alfa atau indomart. harganya juga murah. Pokoknya tidak menyesal menginap lagi disini.",hotel nyaman banget bawa bayi dya nyaman pules tidur kamar mandi bersih kamar lumayan comfy bayi minimarket repot repot cari alfa indomart harga murah pokok sesal inap,8,positive
"Selama ini saya review-minded. Setiap akan menginap pasti akan saya baca dulu review hotelnya. Baru kali ini saya menemukan hotel bintang 4 dengan harga terjangkau dan banyak reviewer yang memberikan nilai 10 hotel lain, sebagus apapun yang pernah saya tinggali, jarang yang punya review 10 sempurna. Hotel ini dapat banyak nilai 10! Saya pun setelah merasakan menginap sehari kemudian memutuskan untuk extend di injury time menjelang check-out. Karena saya berpikir kapan lagi bisa menikmati hotel dengan pelayanan sebagus ini? Rasanya sehari saja kurang. Rugi kalau sampai keluar hotel selama masa menginap.",review minded inap baca review hotel kali temu hotel bintang harga jangkau reviewer nilai hotel bagus tinggal jarang review sempurna hotel nilai inap putus extend injury time jelang check out pikir nikmat hotel layan bagus rugi hotel inap,46,positive
Kamar luas dan bersih. Ada bathtub. Air panas juga lancar. Makanan sangat banyak variasinya dan rasanya enak. Ada kolam air hangat untuk anak-anak berenang. Staf sangat ramah dan cekatan. Puas banget menginap di sini.,kamar luas bersih bathtub air panas lancar makan variasi enak kolam air hangat anak anak renang staf ramah cekat puas banget inap,24,positive
"Sangat memuaskan, kamar bersih dan luas, kamar mandi bersih, breakfastnya enak, pelayanannya ramah dan menyenangkan. Next ke Bandung masih mau menginap disana lagi.",muas kamar bersih luas kamar mandi bersih breakfastnya enak layan ramah senang next bandung inap,24,positive
"Hotel yang sangat recommended untuk liburan bersama anak-anak karena disuguhkan pemandangan kota yang indah pada malam hari, kolam renang hangat menjadi nilai plus sekali, selain itu breakfastnya juga sangat variatif dan enak, dan yang paling menyenangkan kebetulan saya mendapat free upgrade ke tipe condotel dengan harga yang pas di kantong sudah ada fasilitas bathub. Overall hotel ini benar-benar bagus. Next liburan pasti menginap disini lagi. Terima kasih Traveloka dan hotel el royale",hotel recommended libur anak anak suguh pandang kota indah malam kolam renang hangat nilai plus breakfastnya variatif enak senang free upgrade tipe condotel harga pas kantong fasilitas bathub overall hotel bagus next libur inap terima kasih traveloka hotel el royale,41,positive
"Sesuai dengan yang di photo Traveloka, kamar bersih dan luas, petugas ramah-ramah, makanan enak-enak dan banyak pilihan. overall bagus deh.",sesuai photo traveloka kamar bersih luas tugas ramah ramah makan enak enak pilih overall bagus deh,26,positive
Hotelnya nyaman dan tenang pelayanannya bagus pokoknya mantap lah mudah-mudahan tahun depan bisa ke sini lagi.,hotel nyaman tenang layan bagus pokok mantap mudah mudah,30,positive
Pelayanan nya sangat memuaskan. Alhamdulillah Ada traveloka yang membantu liburan kami,layan nya muas alhamdulillah traveloka bantu libur,18,positive
